0,0,0,3,1,1,0,0,0,1,55,55000.0,0,1,0,1694
0,5,5,7,1,0,1,1,0,0,67,58000.0,1,0,0,2
1,5,5,5,1,1,1,1,0,0,80,105000.0,1,0,0,1722
0,5,5,7,1,0,1,1,0,0,50,42000.0,0,1,0,1527
1,5,5,7,1,0,1,1,0,0,60,31000.0,0,1,0,1562
0,3,7,7,1,1,1,0,1,0,66,57000.0,0,1,0,1140
1,5,5,5,1,1,1,1,0,0,45,80000.0,1,0,0,275
1,10,10,7,1,1,0,1,0,0,40,66000.0,1,0,0,1247
1,5,5,7,1,0,1,1,0,0,58,47000.0,1,0,0,1818
0,2,10,7,1,0,1,0,1,0,33,50000.0,0,1,0,1274
0,0,0,4,1,0,1,0,0,1,60,88000.0,1,0,0,1596
0,5,5,7,1,0,1,1,0,0,70,59000.0,1,0,0,1241
1,2,10,10,1,1,1,0,1,0,70,96000.0,1,0,0,715
1,2,10,10,1,1,1,0,1,0,55,39000.0,1,0,0,1587
0,5,5,5,1,1,1,1,0,0,51,63000.0,0,1,0,374
0,2,10,7,1,0,1,0,1,0,60,85000.0,1,0,0,175
1,2,10,10,1,1,1,0,1,0,57,80000.0,0,1,0,1615
0,3,7,7,1,1,1,0,1,0,52,39000.0,1,0,0,1140
0,3,7,7,1,1,1,0,1,0,71,64000.0,1,0,0,1048
0,2,10,7,1,0,1,0,1,0,63,59000.0,1,0,0,1620
0,0,0,3,1,1,0,0,0,1,48,63000.0,0,1,0,1025
0,2,10,10,1,1,1,0,1,0,36,71000.0,1,0,0,1392
0,0,0,4,1,0,1,0,0,1,61,84000.0,1,0,0,1481
0,2,10,10,1,1,1,0,1,0,38,64000.0,0,1,0,939
0,2,10,7,1,0,1,0,1,0,52,71000.0,0,1,0,1440
1,3,7,7,1,1,1,0,1,0,40,31000.0,1,0,0,1640
0,5,20,10,0,0,1,0,1,0,48,33000.0,0,1,0,834
0,3,7,7,1,1,1,0,1,0,38,61000.0,0,1,0,869
0,0,0,4,1,0,1,0,0,1,47,44000.0,0,1,0,1564
1,10,10,7,1,1,0,1,0,0,55,103000.0,1,0,0,809
1,2,10,10,1,1,1,0,1,0,64,84000.0,1,0,0,1713
1,2,10,7,1,0,1,0,1,0,46,57000.0,0,1,0,1267
0,10,10,5,1,1,1,1,0,0,62,78000.0,1,0,0,1506
1,5,5,5,1,1,1,1,0,0,38,86000.0,0,1,0,1482
0,10,10,7,1,1,0,1,0,0,55,89000.0,1,0,0,1361
0,2,10,7,1,0,1,0,1,0,72,74000.0,0,1,0,1784
0,5,5,7,1,0,1,1,0,0,41,62000.0,0,1,0,1698
1,3,7,7,1,1,1,0,1,0,39,58000.0,0,1,0,873
0,10,10,5,1,1,1,1,0,0,64,108000.0,0,1,0,1129
